source,target
50,51
51,52
52,53
53,54
54,55
55,9
55,45
54,56
56,14
56,44
53,57
57,58
58,15
58,30
57,59
59,60
60,25
60,61
61,3
61,26
59,62
62,63
63,27
63,35
62,64
64,16
64,31
52,65
65,20
65,66
66,17
66,38
51,67
67,68
68,69
69,2
69,40
68,70
70,10
70,18
67,71
71,72
72,73
73,13
73,28
72,74
74,36
74,75
75,22
75,76
76,0
76,42
71,77
77,78
78,7
78,79
79,5
79,8
77,80
80,11
80,41
50,81
81,82
82,39
82,83
83,84
84,85
85,1
85,49
84,86
86,6
86,24
83,87
87,33
87,88
88,19
88,21
81,89
89,90
90,37
90,91
91,92
92,4
92,93
93,46
93,47
91,94
94,95
95,12
95,34
94,96
96,43
96,97
97,29
97,48
89,98
98,23
98,32
