source,target
85,86
86,87
87,88
88,66
88,89
89,27
89,90
90,67
90,91
91,92
92,75
92,93
93,70
93,77
91,94
94,43
94,95
95,13
95,26
87,96
96,97
97,98
98,99
99,6
99,53
98,100
100,8
100,101
101,38
101,84
97,102
102,103
103,104
104,56
104,105
105,44
105,45
103,106
106,64
106,107
107,55
107,69
102,108
108,109
109,14
109,110
110,16
110,60
108,111
111,112
112,22
112,58
111,113
113,10
113,114
114,39
114,83
96,115
115,24
115,116
116,117
117,118
118,59
118,63
117,119
119,21
119,68
116,120
120,5
120,121
121,122
122,62
122,81
121,123
123,42
123,49
86,124
124,125
125,126
126,11
126,12
125,127
127,35
127,128
128,51
128,129
129,36
129,73
124,130
130,33
130,131
131,82
131,132
132,25
132,40
85,133
133,134
134,135
135,31
135,41
134,136
136,137
137,138
138,54
138,57
137,139
139,1
139,20
136,140
140,141
141,17
141,18
140,142
142,143
143,34
143,144
144,48
144,145
145,3
145,52
142,146
146,147
147,2
147,47
146,148
148,65
148,149
149,19
149,80
133,150
150,151
151,152
152,153
153,61
153,154
154,15
154,37
152,155
155,74
155,156
156,7
156,30
151,157
157,158
158,23
158,32
157,159
159,160
160,78
160,79
159,161
161,72
161,76
150,162
162,163
163,0
163,50
162,164
164,165
165,28
165,29
164,166
166,167
167,9
167,46
166,168
168,4
168,71
