source,target
124,125
125,126
126,127
127,11
127,12
126,128
128,75
128,119
125,129
129,130
130,37
130,131
131,14
131,20
129,132
132,133
133,134
134,21
134,135
135,4
135,31
133,136
136,137
137,50
137,106
136,138
138,56
138,139
139,22
139,55
132,140
140,141
141,142
142,17
142,105
141,143
143,70
143,97
140,144
144,116
144,145
145,8
145,146
146,113
146,147
147,28
147,61
124,148
148,149
149,150
150,151
151,152
152,38
152,64
151,153
153,46
153,92
150,154
154,100
154,101
149,155
155,156
156,157
157,24
157,158
158,9
158,91
156,159
159,26
159,160
160,87
160,161
161,25
161,109
155,162
162,163
163,164
164,165
165,83
165,166
166,19
166,167
167,2
167,86
164,168
168,169
169,69
169,95
168,170
170,40
170,121
163,171
171,172
172,173
173,99
173,174
174,27
174,108
172,175
175,176
176,47
176,104
175,177
177,36
177,67
171,178
178,76
178,179
179,62
179,180
180,30
180,181
181,53
181,58
162,182
182,183
183,45
183,90
182,184
184,185
185,186
186,51
186,80
185,187
187,16
187,34
184,188
188,49
188,189
189,68
189,110
148,190
190,191
191,192
192,193
193,72
193,85
192,194
194,96
194,123
191,195
195,196
196,6
196,29
195,197
197,198
198,15
198,84
197,199
199,33
199,200
200,41
200,88
190,201
201,202
202,120
202,203
203,204
204,3
204,10
203,205
205,48
205,206
206,0
206,118
201,207
207,208
208,209
209,210
210,32
210,52
209,211
211,5
211,212
212,1
212,57
208,213
213,77
213,214
214,7
214,115
207,215
215,216
216,217
217,63
217,73
216,218
218,71
218,219
219,42
219,102
215,220
220,221
221,35
221,222
222,44
222,93
220,223
223,224
224,225
225,43
225,94
224,226
226,13
226,227
227,60
227,79
223,228
228,229
229,230
230,74
230,114
229,231
231,98
231,232
232,23
232,81
228,233
233,234
234,39
234,54
233,235
235,236
236,89
236,112
235,237
237,238
238,78
238,82
237,239
239,107
239,240
240,103
240,241
241,66
241,242
242,59
242,243
243,122
243,244
244,117
244,245
245,111
245,246
246,18
246,65
