source,target
142,143
143,144
144,145
145,38
145,146
146,16
146,36
144,147
147,45
147,148
148,57
148,110
143,149
149,25
149,150
150,48
150,93
142,151
151,152
152,153
153,154
154,24
154,155
155,156
156,42
156,61
155,157
157,65
157,158
158,13
158,92
153,159
159,37
159,160
160,161
161,44
161,128
160,162
162,35
162,90
152,163
163,164
164,136
164,165
165,166
166,105
166,120
165,167
167,168
168,23
168,70
167,169
169,91
169,129
163,170
170,171
171,67
171,104
170,172
172,27
172,173
173,33
173,84
151,174
174,175
175,176
176,177
177,1
177,51
176,178
178,179
179,180
180,8
180,181
181,73
181,119
179,182
182,111
182,183
183,71
183,184
184,2
184,137
178,185
185,102
185,186
186,187
187,3
187,103
186,188
188,64
188,121
175,189
189,14
189,190
190,191
191,22
191,115
190,192
192,193
193,43
193,194
194,20
194,95
192,195
195,196
196,76
196,106
195,197
197,113
197,198
198,19
198,98
174,199
199,200
200,201
201,112
201,202
202,203
203,204
204,29
204,50
203,205
205,11
205,12
202,206
206,207
207,116
207,208
208,108
208,117
206,209
209,210
210,78
210,140
209,211
211,30
211,141
200,212
212,213
213,214
214,4
214,39
213,215
215,125
215,216
216,217
217,6
217,88
216,218
218,15
218,85
212,219
219,220
220,60
220,221
221,99
221,222
222,101
222,223
223,28
223,224
224,77
224,130
219,225
225,226
226,47
226,227
227,228
228,5
228,109
227,229
229,133
229,230
230,9
230,134
225,231
231,232
232,49
232,87
231,233
233,234
234,53
234,235
235,74
235,100
233,236
236,237
237,122
237,139
236,238
238,31
238,239
239,32
239,66
199,240
240,241
241,242
242,69
242,72
241,243
243,63
243,131
240,244
244,245
245,246
246,52
246,247
247,114
247,248
248,7
248,97
245,249
249,135
249,250
250,123
250,251
251,54
251,80
244,252
252,253
253,40
253,79
252,254
254,255
255,94
255,256
256,17
256,257
257,55
257,96
254,258
258,259
259,260
260,0
260,261
261,262
262,34
262,138
261,263
263,26
263,75
259,264
264,41
264,265
265,266
266,68
266,267
267,81
267,118
265,268
268,269
269,124
269,126
268,270
270,18
270,132
258,271
271,272
272,273
273,62
273,89
272,274
274,21
274,127
271,275
275,276
276,277
277,46
277,86
276,278
278,56
278,83
275,279
279,280
280,10
280,107
279,281
281,59
281,282
282,58
282,82
