source,target
105,106
106,107
107,108
108,109
109,13
109,85
108,110
110,43
110,89
107,111
111,112
112,113
113,68
113,114
114,115
115,17
115,83
114,116
116,35
116,63
112,117
117,118
118,75
118,103
117,119
119,1
119,120
120,121
121,45
121,90
120,122
122,7
122,36
111,123
123,70
123,124
124,69
124,125
125,52
125,98
106,126
126,127
127,128
128,49
128,129
129,18
129,40
127,130
130,131
131,132
132,38
132,71
131,133
133,8
133,30
130,134
134,135
135,5
135,62
134,136
136,0
136,137
137,32
137,88
126,138
138,139
139,22
139,79
138,140
140,65
140,141
141,101
141,142
142,61
142,143
143,74
143,95
105,144
144,145
145,14
145,146
146,147
147,53
147,60
146,148
148,19
148,39
144,149
149,150
150,3
150,151
151,24
151,86
149,152
152,153
153,154
154,76
154,155
155,73
155,156
156,78
156,157
157,80
157,84
153,158
158,159
159,160
160,72
160,161
161,162
162,26
162,27
161,163
163,59
163,100
159,164
164,165
165,166
166,167
167,29
167,48
166,168
168,15
168,25
165,169
169,170
170,4
170,87
169,171
171,172
172,10
172,93
171,173
173,46
173,102
164,174
174,175
175,176
176,21
176,50
175,177
177,178
178,9
178,23
177,179
179,67
179,97
174,180
180,181
181,94
181,182
182,31
182,56
180,183
183,184
184,44
184,92
183,185
185,16
185,91
158,186
186,6
186,187
187,28
187,57
152,188
188,189
189,77
189,190
190,51
190,191
191,47
191,104
188,192
192,193
193,58
193,194
194,42
194,195
195,34
195,81
192,196
196,197
197,198
198,11
198,199
199,99
199,200
200,33
200,96
197,201
201,202
202,12
202,54
201,203
203,82
203,204
204,41
204,64
196,205
205,206
206,20
206,37
205,207
207,66
207,208
208,2
208,55
