source,target
78,79
79,80
80,70
80,81
81,42
81,76
79,82
82,83
83,84
84,21
84,85
85,45
85,54
83,86
86,51
86,60
82,87
87,88
88,89
89,90
90,53
90,64
89,91
91,0
91,25
88,92
92,47
92,93
93,94
94,18
94,95
95,46
95,67
93,96
96,97
97,5
97,13
96,98
98,4
98,68
87,99
99,100
100,19
100,31
99,101
101,102
102,62
102,74
101,103
103,104
104,105
105,29
105,44
104,106
106,65
106,107
107,32
107,66
103,108
108,109
109,10
109,20
108,110
110,2
110,43
78,111
111,112
112,113
113,50
113,114
114,35
114,77
112,115
115,116
116,26
116,30
115,117
117,11
117,75
111,118
118,119
119,61
119,120
120,7
120,15
118,121
121,122
122,123
123,124
124,59
124,125
125,1
125,39
123,126
126,12
126,37
122,127
127,128
128,129
129,17
129,73
128,130
130,34
130,55
127,131
131,132
132,27
132,133
133,36
133,57
131,134
134,6
134,135
135,14
135,28
121,136
136,137
137,49
137,138
138,139
139,3
139,23
138,140
140,22
140,56
136,141
141,142
142,52
142,143
143,16
143,69
141,144
144,145
145,146
146,147
147,58
147,72
146,148
148,40
148,63
145,149
149,150
150,33
150,48
149,151
151,38
151,152
152,41
152,71
144,153
153,24
153,154
154,8
154,9
