source,target
57,58
58,59
59,60
60,61
61,16
61,62
62,55
62,63
63,20
63,51
60,64
64,13
64,65
65,33
65,66
66,45
66,67
67,6
67,10
59,68
68,69
69,18
69,34
68,70
70,71
71,28
71,39
70,72
72,31
72,53
58,73
73,42
73,74
74,3
74,29
57,75
75,76
76,77
77,56
77,78
78,38
78,79
79,21
79,80
80,12
80,24
76,81
81,82
82,7
82,35
81,83
83,23
83,84
84,17
84,85
85,27
85,32
75,86
86,87
87,46
87,88
88,89
89,26
89,40
88,90
90,50
90,91
91,0
91,92
92,14
92,22
86,93
93,94
94,5
94,37
93,95
95,96
96,97
97,15
97,41
96,98
98,54
98,99
99,48
99,52
95,100
100,101
101,25
101,102
102,36
102,103
103,104
104,105
105,2
105,30
104,106
106,4
106,44
103,107
107,1
107,108
108,8
108,11
100,109
109,110
110,9
110,49
109,111
111,19
111,112
112,43
112,47
