source,target
102,103
103,104
104,36
104,105
105,80
105,106
106,45
106,107
107,22
107,95
103,108
108,109
109,58
109,110
110,9
110,61
108,111
111,96
111,112
112,7
112,113
113,73
113,93
102,114
114,71
114,115
115,116
116,117
117,118
118,119
119,120
120,10
120,87
119,121
121,76
121,78
118,122
122,42
122,123
123,1
123,77
117,124
124,125
125,82
125,126
126,21
126,99
124,127
127,74
127,128
128,129
129,31
129,72
128,130
130,75
130,131
131,29
131,132
132,28
132,133
133,35
133,134
134,49
134,85
116,135
135,136
136,137
137,138
138,6
138,30
137,139
139,24
139,140
140,79
140,141
141,12
141,44
136,142
142,53
142,143
143,94
143,144
144,15
144,54
135,145
145,146
146,147
147,51
147,148
148,149
149,89
149,101
148,150
150,88
150,151
151,55
151,90
146,152
152,153
153,154
154,2
154,155
155,68
155,92
153,156
156,41
156,63
152,157
157,158
158,64
158,81
157,159
159,19
159,160
160,161
161,70
161,162
162,163
163,26
163,67
162,164
164,57
164,165
165,65
165,166
166,4
166,47
160,167
167,168
168,169
169,5
169,56
168,170
170,3
170,171
171,8
171,33
167,172
172,40
172,173
173,27
173,174
174,14
174,86
145,175
175,176
176,177
177,18
177,25
176,178
178,62
178,179
179,38
179,180
180,32
180,181
181,50
181,182
182,17
182,97
175,183
183,184
184,34
184,39
183,185
185,186
186,11
186,187
187,37
187,69
185,188
188,23
188,189
189,190
190,0
190,59
189,191
191,48
191,192
192,91
192,193
193,43
193,194
194,60
194,98
115,195
195,196
196,66
196,197
197,13
197,20
195,198
198,84
198,199
199,83
199,200
200,201
201,46
201,100
200,202
202,16
202,52
