source,target
54,55
55,56
56,57
57,49
57,58
58,59
59,3
59,45
58,60
60,33
60,61
61,18
61,62
62,14
62,40
56,63
63,64
64,65
65,2
65,9
64,66
66,38
66,67
67,4
67,10
63,68
68,69
69,17
69,70
70,13
70,34
68,71
71,72
72,0
72,8
71,73
73,42
73,74
74,22
74,41
55,75
75,21
75,76
76,77
77,16
77,78
78,43
78,44
76,79
79,80
80,81
81,29
81,48
80,82
82,37
82,83
83,20
83,31
79,84
84,85
85,24
85,35
84,86
86,87
87,7
87,47
86,88
88,30
88,89
89,27
89,39
54,90
90,91
91,92
92,32
92,93
93,6
93,25
91,94
94,53
94,95
95,15
95,26
90,96
96,36
96,97
97,98
98,99
99,5
99,11
98,100
100,1
100,28
97,101
101,102
102,23
102,52
101,103
103,51
103,104
104,46
104,105
105,50
105,106
106,12
106,19
