source,target
107,108
108,94
108,109
109,28
109,110
110,11
110,92
107,111
111,112
112,113
113,114
114,115
115,74
115,116
116,117
117,36
117,118
118,20
118,68
116,119
119,9
119,120
120,96
120,121
121,38
121,66
114,122
122,13
122,123
123,22
123,124
124,54
124,82
113,125
125,45
125,126
126,127
127,40
127,71
126,128
128,0
128,129
129,130
130,131
131,35
131,132
132,50
132,83
130,133
133,134
134,39
134,95
133,135
135,136
136,25
136,79
135,137
137,57
137,85
129,138
138,105
138,139
139,140
140,14
140,101
139,141
141,142
142,16
142,48
141,143
143,29
143,55
112,144
144,145
145,146
146,51
146,93
145,147
147,1
147,148
148,2
148,44
144,149
149,150
150,4
150,15
149,151
151,152
152,153
153,103
153,154
154,52
154,98
152,155
155,31
155,156
156,41
156,75
151,157
157,158
158,159
159,89
159,160
160,30
160,161
161,162
162,53
162,63
161,163
163,164
164,165
165,100
165,166
166,70
166,91
164,167
167,168
168,69
168,169
169,65
169,78
167,170
170,171
171,27
171,172
172,5
172,90
170,173
173,62
173,174
174,26
174,175
175,7
175,34
163,176
176,17
176,177
177,178
178,43
178,73
177,179
179,24
179,88
158,180
180,181
181,60
181,182
182,80
182,183
183,10
183,56
180,184
184,106
184,185
185,3
185,97
157,186
186,187
187,8
187,23
186,188
188,32
188,189
189,190
190,191
191,77
191,87
190,192
192,19
192,49
189,193
193,194
194,46
194,195
195,102
195,104
193,196
196,197
197,18
197,59
196,198
198,21
198,199
199,12
199,64
111,200
200,201
201,37
201,47
200,202
202,203
203,72
203,204
204,6
204,86
202,205
205,206
206,207
207,33
207,81
206,208
208,61
208,209
209,67
209,84
205,210
210,99
210,211
211,76
211,212
212,42
212,58
