source,target
108,109
109,110
110,58
110,111
111,49
111,112
112,113
113,114
114,21
114,60
113,115
115,99
115,116
116,79
116,87
112,117
117,88
117,118
118,19
118,119
119,12
119,120
120,121
121,95
121,122
122,33
122,123
123,54
123,76
120,124
124,125
125,62
125,69
124,126
126,51
126,70
109,127
127,61
127,128
128,73
128,103
108,129
129,130
130,131
131,132
132,6
132,80
131,133
133,134
134,43
134,135
135,136
136,13
136,23
135,137
137,16
137,138
138,20
138,59
133,139
139,140
140,141
141,29
141,105
140,142
142,83
142,89
139,143
143,144
144,145
145,94
145,102
144,146
146,3
146,147
147,18
147,90
143,148
148,149
149,0
149,150
150,53
150,71
148,151
151,152
152,28
152,75
151,153
153,72
153,154
154,5
154,10
130,155
155,156
156,157
157,50
157,158
158,8
158,159
159,47
159,104
156,160
160,2
160,96
155,161
161,162
162,163
163,164
164,46
164,56
163,165
165,44
165,166
166,40
166,167
167,22
167,45
162,168
168,169
169,92
169,170
170,171
171,4
171,66
170,172
172,81
172,84
168,173
173,174
174,106
174,175
175,42
175,176
176,35
176,97
173,177
177,178
178,179
179,9
179,180
180,63
180,68
178,181
181,37
181,182
182,32
182,39
177,183
183,184
184,64
184,107
183,185
185,186
186,82
186,98
185,187
187,1
187,78
161,188
188,30
188,189
189,190
190,17
190,41
189,191
191,192
192,193
193,194
194,11
194,93
193,195
195,196
196,91
196,101
195,197
197,31
197,52
192,198
198,25
198,55
191,199
199,74
199,200
200,15
200,201
201,36
201,86
129,202
202,203
203,7
203,24
202,204
204,205
205,206
206,14
206,67
205,207
207,208
208,38
208,100
207,209
209,48
209,77
204,210
210,65
210,211
211,34
211,212
212,213
213,27
213,57
212,214
214,26
214,85
