source,target
80,81
81,24
81,82
82,44
82,76
80,83
83,84
84,85
85,4
85,86
86,19
86,62
84,87
87,88
88,89
89,2
89,68
88,90
90,49
90,91
91,92
92,64
92,70
91,93
93,94
94,7
94,33
93,95
95,27
95,96
96,9
96,66
87,97
97,98
98,41
98,99
99,39
99,75
97,100
100,101
101,102
102,8
102,65
101,103
103,15
103,52
100,104
104,105
105,106
106,107
107,1
107,45
106,108
108,16
108,17
105,109
109,110
110,111
111,31
111,38
110,112
112,67
112,113
113,13
113,58
109,114
114,115
115,29
115,47
114,116
116,53
116,117
117,10
117,51
104,118
118,119
119,120
120,46
120,121
121,26
121,71
119,122
122,123
123,57
123,73
122,124
124,125
125,11
125,25
124,126
126,23
126,79
118,127
127,61
127,128
128,129
129,40
129,56
128,130
130,54
130,63
83,131
131,132
132,133
133,134
134,30
134,135
135,6
135,77
133,136
136,137
137,14
137,69
136,138
138,12
138,21
132,139
139,140
140,3
140,141
141,28
141,142
142,5
142,74
139,143
143,72
143,144
144,32
144,145
145,36
145,146
146,43
146,50
131,147
147,148
148,149
149,0
149,34
148,150
150,55
150,151
151,37
151,48
147,152
152,153
153,154
154,18
154,42
153,155
155,59
155,60
152,156
156,22
156,157
157,78
157,158
158,20
158,35
