source,target
49,50
50,51
51,52
52,36
52,53
53,0
53,54
54,3
54,10
51,55
55,56
56,11
56,33
55,57
57,1
57,58
58,16
58,29
50,59
59,60
60,25
60,61
61,26
61,27
59,62
62,15
62,63
63,18
63,48
49,64
64,65
65,66
66,67
67,68
68,23
68,69
69,19
69,43
67,70
70,71
71,32
71,72
72,17
72,42
70,73
73,74
74,35
74,40
73,75
75,76
76,47
76,77
77,7
77,44
75,78
78,34
78,79
79,45
79,80
80,2
80,13
66,81
81,38
81,82
82,83
83,12
83,31
82,84
84,9
84,20
65,85
85,86
86,4
86,87
87,88
88,41
88,46
87,89
89,22
89,90
90,21
90,30
85,91
91,37
91,39
64,92
92,93
93,6
93,8
92,94
94,24
94,95
95,5
95,96
96,14
96,28
