source,target
65,66
66,67
67,30
67,34
66,68
68,69
69,70
70,59
70,71
71,35
71,72
72,38
72,73
73,47
73,54
69,74
74,75
75,1
75,60
74,76
76,77
77,25
77,28
76,78
78,79
79,4
79,39
78,80
80,50
80,81
81,41
81,82
82,16
82,46
68,83
83,84
84,85
85,5
85,29
84,86
86,21
86,57
83,87
87,88
88,89
89,43
89,90
90,61
90,91
91,33
91,36
88,92
92,20
92,93
93,94
94,12
94,95
95,55
95,96
96,32
96,97
97,7
97,22
93,98
98,10
98,99
99,26
99,100
100,9
100,44
87,101
101,102
102,103
103,24
103,104
104,0
104,27
102,105
105,106
106,64
106,107
107,15
107,18
105,108
108,31
108,45
101,109
109,8
109,52
65,110
110,111
111,112
112,2
112,113
113,3
113,49
111,114
114,62
114,115
115,116
116,17
116,42
115,117
117,6
117,19
110,118
118,119
119,23
119,120
120,121
121,37
121,58
120,122
122,123
123,11
123,51
122,124
124,53
124,63
118,125
125,126
126,13
126,127
127,14
127,48
125,128
128,40
128,56
