source,target
45,46
46,47
47,38
47,48
48,26
48,49
49,13
49,50
50,0
50,11
46,51
51,52
52,12
52,28
51,53
53,42
53,54
54,5
54,55
55,24
55,56
56,20
56,57
57,8
57,21
45,58
58,41
58,59
59,60
60,37
60,61
61,32
61,35
59,62
62,63
63,19
63,64
64,16
64,43
62,65
65,66
66,1
66,31
65,67
67,68
68,4
68,33
67,69
69,70
70,23
70,71
71,27
71,72
72,29
72,30
69,73
73,74
74,15
74,75
75,76
76,10
76,22
75,77
77,3
77,78
78,36
78,79
79,17
79,34
73,80
80,81
81,39
81,82
82,7
82,18
80,83
83,40
83,84
84,85
85,2
85,25
84,86
86,87
87,9
87,44
86,88
88,6
88,14
