source,target
54,55
55,56
56,29
56,39
55,57
57,58
58,19
58,31
57,59
59,60
60,61
61,10
61,34
60,62
62,20
62,63
63,7
63,17
59,64
64,65
65,33
65,37
64,66
66,11
66,67
67,8
67,42
54,68
68,69
69,70
70,71
71,30
71,44
70,72
72,32
72,73
73,21
73,26
69,74
74,75
75,22
75,76
76,1
76,9
74,77
77,78
78,3
78,48
77,79
79,18
79,80
80,43
80,53
68,81
81,82
82,83
83,4
83,5
82,84
84,50
84,85
85,23
85,51
81,86
86,87
87,0
87,88
88,24
88,47
86,89
89,90
90,40
90,91
91,14
91,38
89,92
92,2
92,93
93,13
93,94
94,95
95,15
95,96
96,25
96,35
94,97
97,98
98,6
98,99
99,12
99,49
97,100
100,101
101,41
101,102
102,45
102,52
100,103
103,36
103,104
104,16
104,105
105,28
105,106
106,27
106,46
