source,target
172,173
173,174
174,175
175,176
176,154
176,177
177,178
178,63
178,124
177,179
179,20
179,22
175,180
180,171
180,181
181,44
181,182
182,183
183,45
183,161
182,184
184,1
184,41
174,185
185,186
186,187
187,188
188,71
188,189
189,49
189,118
187,190
190,136
190,191
191,113
191,192
192,29
192,143
186,193
193,194
194,195
195,91
195,96
194,196
196,76
196,117
193,197
197,12
197,130
185,198
198,121
198,199
199,59
199,200
200,70
200,201
201,34
201,105
173,202
202,203
203,204
204,205
205,132
205,140
204,206
206,120
206,207
207,58
207,208
208,144
208,209
209,68
209,210
210,28
210,85
203,211
211,24
211,212
212,213
213,66
213,122
212,214
214,95
214,98
202,215
215,216
216,217
217,7
217,218
218,65
218,219
219,69
219,220
220,107
220,133
216,221
221,222
222,47
222,102
221,223
223,224
224,25
224,82
223,225
225,226
226,227
227,123
227,228
228,3
228,99
226,229
229,137
229,230
230,112
230,231
231,31
231,147
225,232
232,13
232,111
215,233
233,234
234,235
235,236
236,237
237,17
237,94
236,238
238,64
238,74
235,239
239,148
239,240
240,61
240,241
241,80
241,242
242,9
242,57
234,243
243,155
243,244
244,160
244,245
245,36
245,246
246,142
246,247
247,86
247,248
248,152
248,157
233,249
249,250
250,48
250,251
251,252
252,27
252,73
251,253
253,168
253,254
254,50
254,106
249,255
255,256
256,89
256,257
257,258
258,87
258,116
257,259
259,60
259,260
260,145
260,146
255,261
261,16
261,262
262,263
263,77
263,151
262,264
264,79
264,126
172,265
265,266
266,267
267,97
267,268
268,18
268,269
269,270
270,114
270,271
271,21
271,54
269,272
272,273
273,56
273,274
274,141
274,275
275,139
275,169
272,276
276,277
277,14
277,278
278,35
278,279
279,72
279,90
276,280
280,51
280,281
281,4
281,33
266,282
282,283
283,101
283,284
284,109
284,285
285,52
285,286
286,15
286,32
282,287
287,288
288,0
288,8
287,289
289,23
289,43
265,290
290,291
291,292
292,293
293,55
293,294
294,30
294,159
292,295
295,166
295,296
296,83
296,153
291,297
297,298
298,149
298,299
299,158
299,164
297,300
300,301
301,302
302,303
303,5
303,108
302,304
304,104
304,305
305,170
305,306
306,37
306,40
301,307
307,308
308,309
309,84
309,103
308,310
310,19
310,138
307,311
311,312
312,26
312,38
311,313
313,314
314,2
314,115
313,315
315,316
316,67
316,134
315,317
317,125
317,318
318,46
318,156
300,319
319,320
320,100
320,321
321,127
321,163
319,322
322,167
322,323
323,81
323,119
290,324
324,325
325,326
326,88
326,150
325,327
327,62
327,328
328,6
328,129
324,329
329,330
330,75
330,331
331,162
331,332
332,333
333,11
333,93
332,334
334,165
334,335
335,10
335,110
329,336
336,337
337,53
337,338
338,78
338,128
336,339
339,340
340,131
340,341
341,39
341,42
339,342
342,92
342,135
