source,target
125,126
126,127
127,128
128,7
128,74
127,129
129,41
129,130
130,58
130,122
126,131
131,132
132,133
133,22
133,134
134,73
134,135
135,100
135,112
132,136
136,137
137,64
137,138
138,88
138,98
136,139
139,30
139,140
140,47
140,57
131,141
141,142
142,143
143,33
143,144
144,84
144,145
145,44
145,146
146,16
146,35
142,147
147,148
148,81
148,93
147,149
149,69
149,103
141,150
150,151
151,152
152,31
152,56
151,153
153,154
154,109
154,155
155,62
155,114
153,156
156,68
156,157
157,51
157,91
150,158
158,159
159,160
160,85
160,161
161,97
161,111
159,162
162,163
163,29
163,96
162,164
164,102
164,165
165,166
166,3
166,75
165,167
167,66
167,71
158,168
168,169
169,27
169,79
168,170
170,171
171,49
171,106
170,172
172,173
173,174
174,48
174,52
173,175
175,110
175,176
176,83
176,116
172,177
177,178
178,179
179,45
179,59
178,180
180,8
180,43
177,181
181,182
182,13
182,94
181,183
183,37
183,70
125,184
184,185
185,186
186,187
187,34
187,90
186,188
188,60
188,76
185,189
189,17
189,190
190,18
190,191
191,192
192,20
192,193
193,24
193,26
191,194
194,195
195,86
195,118
194,196
196,197
197,19
197,95
196,198
198,39
198,199
199,10
199,40
184,200
200,201
201,61
201,202
202,203
203,2
203,204
204,25
204,205
205,108
205,206
206,101
206,124
202,207
207,46
207,208
208,78
208,209
209,65
209,210
210,38
210,107
200,211
211,212
212,213
213,50
213,214
214,15
214,119
212,215
215,216
216,113
216,217
217,218
218,32
218,87
217,219
219,63
219,220
220,67
220,121
215,221
221,222
222,223
223,117
223,224
224,9
224,12
222,225
225,82
225,226
226,5
226,227
227,53
227,92
221,228
228,99
228,229
229,104
229,230
230,231
231,23
231,120
230,232
232,6
232,42
211,233
233,234
234,235
235,236
236,0
236,123
235,237
237,238
238,239
239,72
239,80
238,240
240,11
240,77
237,241
241,242
242,4
242,105
241,243
243,1
243,14
234,244
244,21
244,245
245,55
245,89
233,246
246,115
246,247
247,36
247,248
248,28
248,54
