source,target
132,133
133,134
134,135
135,96
135,136
136,78
136,111
134,137
137,80
137,138
138,139
139,140
140,40
140,141
141,60
141,115
139,142
142,143
143,68
143,81
142,144
144,113
144,145
145,106
145,108
138,146
146,147
147,148
148,56
148,63
147,149
149,70
149,112
146,150
150,151
151,87
151,152
152,58
152,89
150,153
153,114
153,154
154,20
154,155
155,23
155,34
133,156
156,157
157,158
158,159
159,160
160,61
160,92
159,161
161,95
161,162
162,27
162,65
158,163
163,118
163,164
164,12
164,42
157,165
165,166
166,167
167,31
167,85
166,168
168,169
169,39
169,67
168,170
170,0
170,104
165,171
171,172
172,21
172,173
173,48
173,174
174,175
175,71
175,130
174,176
176,49
176,72
171,177
177,178
178,7
178,179
179,38
179,180
180,46
180,82
177,181
181,75
181,182
182,183
183,184
184,53
184,107
183,185
185,10
185,62
182,186
186,187
187,15
187,116
186,188
188,189
189,4
189,190
190,69
190,125
188,191
191,18
191,192
192,101
192,193
193,51
193,194
194,30
194,131
156,195
195,93
195,196
196,59
196,129
132,197
197,198
198,199
199,200
200,201
201,8
201,47
200,202
202,5
202,124
199,203
203,204
204,36
204,205
205,22
205,25
203,206
206,207
207,9
207,88
206,208
208,43
208,105
198,209
209,210
210,79
210,211
211,17
211,212
212,3
212,32
209,213
213,29
213,77
197,214
214,215
215,2
215,216
216,1
216,16
214,217
217,218
218,100
218,219
219,220
220,28
220,73
219,221
221,222
222,13
222,26
221,223
223,14
223,224
224,50
224,91
217,225
225,226
226,227
227,228
228,102
228,229
229,52
229,99
227,230
230,231
231,76
231,97
230,232
232,128
232,233
233,121
233,127
226,234
234,235
235,236
236,57
236,84
235,237
237,109
237,238
238,66
238,239
239,55
239,110
234,240
240,241
241,242
242,119
242,120
241,243
243,44
243,90
240,244
244,245
245,11
245,246
246,64
246,247
247,33
247,74
244,248
248,249
249,37
249,126
248,250
250,86
250,117
225,251
251,252
252,253
253,254
254,94
254,122
253,255
255,19
255,83
252,256
256,41
256,257
257,54
257,103
251,258
258,6
258,259
259,260
260,35
260,261
261,24
261,123
259,262
262,45
262,98
