source,target
136,137
137,138
138,139
139,140
140,87
140,141
141,5
141,40
139,142
142,143
143,144
144,38
144,104
143,145
145,110
145,124
142,146
146,147
147,43
147,107
146,148
148,11
148,149
149,23
149,60
138,150
150,151
151,152
152,153
153,85
153,92
152,154
154,20
154,108
151,155
155,156
156,32
156,112
155,157
157,3
157,59
150,158
158,159
159,160
160,91
160,161
161,17
161,99
159,162
162,95
162,163
163,0
163,10
158,164
164,4
164,165
165,166
166,67
166,71
165,167
167,18
167,82
137,168
168,169
169,170
170,171
171,89
171,172
172,65
172,125
170,173
173,174
174,24
174,175
175,46
175,176
176,14
176,56
173,177
177,178
178,73
178,179
179,7
179,180
180,48
180,181
181,8
181,131
177,182
182,183
183,184
184,64
184,90
183,185
185,76
185,186
186,63
186,187
187,19
187,113
182,188
188,78
188,189
189,53
189,190
190,9
190,132
169,191
191,114
191,192
192,119
192,193
193,118
193,194
194,1
194,69
168,195
195,28
195,196
196,197
197,198
198,199
199,12
199,74
198,200
200,201
201,66
201,116
200,202
202,203
203,88
203,204
204,50
204,109
202,205
205,115
205,206
206,207
207,21
207,30
206,208
208,44
208,209
209,126
209,210
210,94
210,103
197,211
211,15
211,16
196,212
212,129
212,213
213,214
214,215
215,42
215,68
214,216
216,83
216,135
213,217
217,218
218,72
218,75
217,219
219,35
219,120
136,220
220,221
221,222
222,223
223,134
223,224
224,225
225,41
225,96
224,226
226,31
226,62
222,227
227,102
227,228
228,229
229,2
229,230
230,37
230,93
228,231
231,232
232,81
232,130
231,233
233,79
233,84
221,234
234,235
235,236
236,39
236,237
237,47
237,77
235,238
238,54
238,239
239,33
239,240
240,13
240,36
234,241
241,242
242,243
243,117
243,244
244,49
244,55
242,245
245,51
245,246
246,26
246,52
241,247
247,80
247,248
248,249
249,100
249,123
248,250
250,27
250,98
220,251
251,252
252,61
252,111
251,253
253,254
254,255
255,256
256,57
256,106
255,257
257,29
257,258
258,34
258,105
254,259
259,260
260,121
260,261
261,58
261,70
259,262
262,263
263,86
263,127
262,264
264,122
264,265
265,45
265,133
253,266
266,22
266,267
267,6
267,268
268,128
268,269
269,25
269,270
270,97
270,101
