source,target
62,63
63,64
64,0
64,36
63,65
65,11
65,45
62,66
66,67
67,68
68,69
69,70
70,10
70,29
69,71
71,72
72,5
72,73
73,32
73,52
71,74
74,75
75,34
75,58
74,76
76,47
76,77
77,22
77,25
68,78
78,7
78,57
67,79
79,80
80,27
80,28
79,81
81,82
82,21
82,26
81,83
83,39
83,49
66,84
84,85
85,33
85,86
86,87
87,88
88,20
88,89
89,4
89,42
87,90
90,91
91,44
91,59
90,92
92,3
92,93
93,56
93,94
94,35
94,55
86,95
95,96
96,97
97,98
98,17
98,60
97,99
99,19
99,100
100,1
100,40
96,101
101,102
102,15
102,103
103,6
103,9
101,104
104,53
104,105
105,16
105,41
95,106
106,13
106,107
107,108
108,12
108,43
107,109
109,8
109,110
110,18
110,30
84,111
111,112
112,113
113,2
113,51
112,114
114,14
114,37
111,115
115,116
116,24
116,117
117,23
117,38
115,118
118,119
119,48
119,61
118,120
120,121
121,46
121,50
120,122
122,31
122,54
