source,target
155,156
156,157
157,158
158,159
159,160
160,3
160,70
159,161
161,119
161,162
162,58
162,163
163,134
163,164
164,104
164,142
158,165
165,166
166,39
166,56
165,167
167,150
167,168
168,22
168,94
157,169
169,170
170,47
170,171
171,69
171,172
172,110
172,153
169,173
173,174
174,28
174,175
175,176
176,30
176,177
177,25
177,41
175,178
178,91
178,179
179,50
179,89
173,180
180,98
180,181
181,16
181,105
156,182
182,183
183,184
184,132
184,185
185,40
185,154
183,186
186,78
186,187
187,10
187,60
182,188
188,189
189,90
189,112
188,190
190,191
191,18
191,95
190,192
192,82
192,193
193,7
193,151
155,194
194,195
195,196
196,197
197,33
197,198
198,43
198,80
196,199
199,200
200,135
200,201
201,32
201,202
202,6
202,203
203,81
203,149
199,204
204,205
205,34
205,103
204,206
206,5
206,45
195,207
207,208
208,209
209,210
210,211
211,59
211,212
212,61
212,138
210,213
213,75
213,214
214,137
214,215
215,77
215,216
216,217
217,26
217,147
216,218
218,85
218,116
209,219
219,220
220,35
220,221
221,92
221,111
219,222
222,49
222,140
208,223
223,224
224,68
224,101
223,225
225,226
226,227
227,11
227,20
226,228
228,53
228,229
229,108
229,133
225,230
230,231
231,55
231,122
230,232
232,233
233,21
233,120
232,234
234,235
235,71
235,124
234,236
236,46
236,96
207,237
237,238
238,239
239,143
239,240
240,65
240,73
238,241
241,87
241,242
242,29
242,83
237,243
243,244
244,9
244,145
243,245
245,1
245,246
246,19
246,125
194,247
247,248
248,249
249,250
250,251
251,152
251,252
252,13
252,36
250,253
253,31
253,254
254,12
254,37
249,255
255,256
256,257
257,54
257,64
256,258
258,259
259,84
259,260
260,129
260,144
258,261
261,106
261,262
262,88
262,113
255,263
263,76
263,264
264,17
264,265
265,0
265,74
248,266
266,267
267,268
268,79
268,269
269,66
269,109
267,270
270,271
271,4
271,118
270,272
272,139
272,273
273,63
273,274
274,275
275,2
275,72
274,276
276,62
276,128
266,277
277,278
278,279
279,126
279,280
280,114
280,136
278,281
281,282
282,67
282,115
281,283
283,284
284,93
284,146
283,285
285,107
285,123
277,286
286,52
286,100
247,287
287,288
288,289
289,290
290,14
290,57
289,291
291,86
291,292
292,38
292,97
288,293
293,294
294,99
294,295
295,130
295,296
296,23
296,44
293,297
297,298
298,299
299,117
299,121
298,300
300,127
300,141
297,301
301,302
302,27
302,48
301,303
303,131
303,304
304,8
304,24
287,305
305,306
306,102
306,307
307,42
307,148
305,308
308,15
308,51
