source,target
101,102
102,103
103,6
103,104
104,42
104,105
105,7
105,86
102,106
106,107
107,47
107,108
108,91
108,109
109,29
109,110
110,97
110,111
111,28
111,100
106,112
112,113
113,114
114,61
114,115
115,83
115,95
113,116
116,44
116,117
117,65
117,68
112,118
118,119
119,81
119,120
120,27
120,59
118,121
121,21
121,70
101,122
122,23
122,123
123,124
124,89
124,125
125,17
125,77
123,126
126,127
127,128
128,129
129,130
130,96
130,99
129,131
131,26
131,62
128,132
132,133
133,39
133,76
132,134
134,75
134,84
127,135
135,136
136,5
136,137
137,138
138,20
138,60
137,139
139,140
140,35
140,64
139,141
141,16
141,98
135,142
142,143
143,144
144,33
144,37
143,145
145,46
145,53
142,146
146,147
147,11
147,72
146,148
148,149
149,85
149,150
150,19
150,82
148,151
151,40
151,152
152,78
152,90
126,153
153,154
154,155
155,55
155,92
154,156
156,49
156,157
157,93
157,94
153,158
158,159
159,38
159,69
158,160
160,161
161,162
162,163
163,80
163,87
162,164
164,165
165,54
165,71
164,166
166,0
166,43
161,167
167,2
167,168
168,169
169,4
169,170
170,10
170,24
168,171
171,172
172,50
172,66
171,173
173,57
173,174
174,9
174,48
160,175
175,176
176,177
177,178
178,31
178,45
177,179
179,56
179,88
176,180
180,181
181,182
182,8
182,12
181,183
183,63
183,73
180,184
184,185
185,25
185,41
184,186
186,187
187,22
187,74
186,188
188,34
188,67
175,189
189,190
190,191
191,1
191,192
192,3
192,52
190,193
193,14
193,15
189,194
194,195
195,18
195,36
194,196
196,30
196,197
197,198
198,13
198,51
197,199
199,32
199,200
200,58
200,79
