source,target
68,69
69,70
70,71
71,72
72,73
73,66
73,74
74,37
74,75
75,5
75,27
72,76
76,29
76,41
71,77
77,78
78,42
78,59
77,79
79,0
79,80
80,10
80,81
81,34
81,63
70,82
82,83
83,84
84,64
84,85
85,47
85,51
83,86
86,56
86,87
87,38
87,88
88,67
88,89
89,15
89,17
82,90
90,91
91,60
91,92
92,12
92,93
93,11
93,94
94,49
94,55
90,95
95,1
95,96
96,23
96,61
69,97
97,98
98,99
99,52
99,53
98,100
100,101
101,46
101,65
100,102
102,9
102,103
103,4
103,26
97,104
104,105
105,24
105,106
106,28
106,40
104,107
107,31
107,108
108,18
108,109
109,13
109,32
68,110
110,111
111,22
111,112
112,113
113,35
113,48
112,114
114,43
114,62
110,115
115,116
116,117
117,30
117,33
116,118
118,119
119,6
119,120
120,50
120,121
121,7
121,25
118,122
122,123
123,8
123,58
122,124
124,2
124,125
125,14
125,19
115,126
126,16
126,127
127,128
128,20
128,45
127,129
129,3
129,130
130,131
131,44
131,132
132,36
132,133
133,54
133,57
130,134
134,21
134,39
