source,target
179,180
180,181
181,182
182,183
183,52
183,184
184,32
184,185
185,18
185,54
182,186
186,93
186,187
187,160
187,188
188,53
188,189
189,101
189,166
181,190
190,191
191,192
192,13
192,148
191,193
193,98
193,138
190,194
194,195
195,196
196,114
196,197
197,151
197,198
198,157
198,199
199,60
199,200
200,201
201,11
201,23
200,202
202,131
202,177
195,203
203,204
204,205
205,44
205,122
204,206
206,24
206,207
207,142
207,208
208,30
208,136
203,209
209,210
210,3
210,109
209,211
211,212
212,6
212,213
213,214
214,97
214,145
213,215
215,94
215,107
211,216
216,217
217,153
217,218
218,77
218,219
219,220
220,8
220,221
221,104
221,161
219,222
222,167
222,223
223,72
223,76
216,224
224,108
224,225
225,226
226,51
226,141
225,227
227,228
228,147
228,229
229,176
229,230
230,82
230,146
227,231
231,89
231,232
232,106
232,233
233,48
233,137
194,234
234,235
235,40
235,236
236,237
237,50
237,163
236,238
238,55
238,239
239,9
239,127
234,240
240,113
240,241
241,33
241,242
242,17
242,73
180,243
243,244
244,245
245,246
246,247
247,28
247,165
246,248
248,135
248,249
249,103
249,119
245,250
250,251
251,2
251,252
252,253
253,254
254,56
254,130
253,255
255,256
256,125
256,257
257,79
257,121
255,258
258,92
258,259
259,25
259,260
260,86
260,178
252,261
261,172
261,262
262,263
263,37
263,115
262,264
264,57
264,265
265,16
265,132
250,266
266,59
266,267
267,87
267,169
244,268
268,81
268,269
269,270
270,162
270,271
271,71
271,88
269,272
272,273
273,74
273,274
274,36
274,275
275,276
276,100
276,277
277,278
278,14
278,21
277,279
279,34
279,171
275,280
280,78
280,281
281,150
281,282
282,84
282,283
283,47
283,284
284,129
284,149
272,285
285,152
285,286
286,287
287,174
287,288
288,27
288,168
286,289
289,170
289,290
290,80
290,140
243,291
291,292
292,293
293,294
294,5
294,15
293,295
295,20
295,112
292,296
296,111
296,297
297,155
297,298
298,299
299,26
299,39
298,300
300,61
300,159
291,301
301,66
301,302
302,303
303,4
303,139
302,304
304,49
304,305
305,46
305,143
179,306
306,307
307,308
308,309
309,12
309,117
308,310
310,42
310,67
307,311
311,70
311,312
312,1
312,58
306,313
313,314
314,83
314,315
315,316
316,317
317,318
318,22
318,116
317,319
319,320
320,65
320,164
319,321
321,10
321,43
316,322
322,323
323,69
323,123
322,324
324,325
325,110
325,173
324,326
326,327
327,102
327,134
326,328
328,45
328,154
315,329
329,7
329,330
330,35
330,64
313,331
331,332
332,333
333,29
333,118
332,334
334,99
334,335
335,336
336,158
336,337
337,126
337,156
335,338
338,105
338,339
339,31
339,340
340,68
340,96
331,341
341,342
342,343
343,344
344,19
344,90
343,345
345,95
345,124
342,346
346,38
346,128
341,347
347,348
348,62
348,349
349,350
350,85
350,144
349,351
351,133
351,352
352,120
352,175
347,353
353,63
353,354
354,75
354,355
355,91
355,356
356,0
356,41
